Key,Value
T1016,Software has the ability to discover the domain name of the infected host.
T1053.005,Attacker has used scheduled tasks to maintain RDP backdoors.
T1113,Attacker has used tools to take screenshots from victims.
T1080,"Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary's code on a remote system."
T1555.003,Adversaries may acquire credentials from web browsers by reading files specific to the target browser.
T1531,Adversaries may also subsequently log off and/or perform a  to set malicious changes into place.
T1566.003,"A common example is to build rapport with a target via social media, then send content to a personal webmail service that the target uses on their work computer."
T1554,"Software binaries/executables provide a wide range of system commands or services, programs, and libraries."
T1059,"Most systems come with some built-in command-line interface and scripting capabilities, for example, macOS and Linux distributions include some flavor of  while Windows installations include the  and ."
T1218.003,This execution may also bypass AppLocker and other application control defenses since CMSTP.exe is a legitimate binary that may be signed by Microsoft.
T1123,Software can record the sounds from microphones on a computer.
T1059.003,Attacker has executed commands using <code>cmd.exe</code>.
T1547.001,Software can install a Registry Run key for persistence.
T1078,"To move laterally on a victim network, Attacker has used credentials stolen from various systems on which it gathered usernames and password hashes."
T1027.002,Software has used several packing methods for obfuscation.
T1560.001,<code>xcopy</code> on Windows can copy files and directories with a variety of options.
T1584.001,Adversaries may hijack domains and/or subdomains that can be used during targeting.
T1042,"File association selections are stored in the Windows Registry and can be edited by users, administrators, or programs that have Registry access   or by administrators using the built-in assoc utility."
T1021.002,Adversaries can instruct Software to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials . The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.
T1027.012,These files may also then be invoked by / arguments within the target path field of the LNK.
T1558,Adversaries can use open source tools to interact with the ccache files directly or to use the Kerberos framework to call lower-level APIs for extracting the user's TGT or Service Tickets.
T1083,"Software can list all files and their associated attributes, including filename, type, owner, creation time, last access time, last write time, size, and permissions."
T1074.001,"During , threat actors staged archived files in a temporary directory prior to exfiltration."
T1518.001,"The main Software dropper checks whether the victim has an anti-virus product installed. If the installed product is on a predetermined list, the dropper will exit."
T1543.003,"Software chooses a service, drops a DLL file, and writes it to that serviceDLL Registry key."
T1087.002,Attacker leverages legitimate domain accounts to gain access to the target environment.
T1064,Software executes scripts on the victim's machine.
T1082,Software obtains the victim computer name and encrypts the information to send over its C2 channel.
T1106,"Software has used a variety of Windows API calls, including `NtCurrentPeb` and `GetLogicalDrives`."
T1070.004,The Attacker uploader or malware the uploader uses <code>command</code> to delete the RAR archives after they have been exfiltrated.
T1072,Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network.
T1222.001,Windows implements file and directory ACLs as Discretionary Access Control Lists .
T1005,Software can collect data on a compromised host.
T1070.006,Software sets the timestamps of its dropper files to the last-access and last-write timestamps of a standard Windows library chosen on the system.
T1114.002,Attacker has used tools such as the MailFetch mail crawler to collect victim emails  from online services via IMAP.
T1027.010,Attacker has used encoded PowerShell commands.
T1033,Software can obtain information about the logged on user both locally and for Remote Desktop sessions.
T1590.001,Adversaries may gather information about the victim's network domain that can be used during targeting.
T1221,Attacker has used a weaponized Microsoft Word document with an embedded RTF exploit.
T1573.001,Software has used AES to encrypt C2 traffic.
T1082,Software collects OS information and the computer name from the victim’s machine.
T1573.002,Software uses Software for command and control traffic and routes a custom cryptographic protocol over the Software circuit.
T1552.004,Adversary tools may also search compromised systems for file extensions relating to cryptographic keys and certificates.
T1499,"Adversaries may use the original IP address of an attacking system, or spoof the source IP address to make the attack traffic more difficult to trace back to the attacking system or to enable reflection."
T1222.001,"If a matching entry is found, access to the object is granted."
T1057,Software has collected information about running processes.
T1518.001,Software has the ability to search for Kaspersky Antivirus on a victim's machine.
T1110,"Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism."
T1218.014,"For example, <code>mmc C:\Users\foo\admintools.msc /a</code> will open a custom, saved console msc file in author mode."
T1528,"Token theft can also occur through social engineering, in which case user action may be required to grant access."
T1105,Attacker has used tools to download files to compromised machines.
T1076,Adversaries may connect to a remote system over RDP/RDS to expand access if the service is enabled and allows access to accounts with known credentials.
T1063,"Adversaries may use the information from  during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions."
T1033,Software can collect the victim username.
T1098.004,Attacker has added RSA keys in <code>authorized_keys</code>.
T1566.001,Software has been delivered via spearphishing attachments disguised as PDF documents.
T1497,This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment  or sandbox.
T1059.003,"Batch files  also provide the shell with a list of sequential commands to run, as well as normal scripting operations such as conditionals and loops."
T1123,Software's <code>Get-MicrophoneAudio</code> Exfiltration module can record system microphone audio.
T1574.010,Adversaries may use flaws in the permissions of Windows services to replace the binary that is executed upon service start.
T1070.004,Software can delete the original executable after initial installation in addition to unused functions.
T1033,Software has the ability to identify the current user on the infected host.
T1083,Software can enumerate local drives.
T1082,"Software has a module to gather information from the compromrised asset, including the computer version, computer name, IIS version, and more."
T1106,Software used Windows API functions such as <code>MoveFileEx</code> and <code>NtQueryInformationProcess</code> as part of the Software injection process.
T1143,"However, adversaries can abuse this feature and hide their running window."
T1586,Adversaries may directly leverage compromised email accounts for  or .
T1082,"Software can gather information on the mapped drives, OS version, computer name, DEP policy, memory size, and system volume serial number."
T1055.013,Software can inject into a target process using process doppelgänging.
T1548.002,"Software can attempt to run the program as admin, then show a fake error message and a legitimate UAC bypass prompt to the user in an attempt to socially engineer the user into escalating privileges."
T1059.001,Attacker has used PowerShell for execution.
T1055.012,Attacker malware can use process hollowing to inject one of its trojans into another process.
T1547.001,Attacker has used a batch script that adds a Registry Run key to establish malware persistence.
T1546.009,Software can establish using a AppCertDLLs Registry key.
T1574.001,"Software has exploited the loading of the legitimate Dwrite.dll file by actually loading the gdi library, which then loads the gdiplus library and ultimately loads the local Dwrite dll."
T1001.003,Software uses a cookie named `DSID` to mimic the name of a cookie used by Ivanti Connect Secure appliances for maintaining VPN sessions.
T1566.002,Software has been delivered via malicious links in e-mail.
T1105,Attacker has downloaded additional malware to execute on victim systems.
T1102,During Attacker used the Cloudflare services for C2 communications.
T1059.003,Software has used `cmd` to execute commands on a compromised host.
T1657,"Financial theft is the ultimate objective of several popular campaign types including extortion by ransomware, business email compromise  and fraud, ""pig butchering,"" bank hacking, and exploiting cryptocurrency networks."
T1016,Attacker has collected the IP address and network adapter information from the victim’s machine.
T1589.001,During Attacker sent phishing messages via SMS to steal credentials.
T1068,Software has exploited multiple Windows vulnerabilities  and a .NET Runtime Optimization vulnerability for privilege escalation.
T1558,"On modern Redhat Enterprise Linux systems, and derivative distributions, the System Security Services Daemon  handles Kerberos tickets."
T1568,"Software has forged POST strings with a random choice from a list of possibilities including ""forum"", ""php"", ""view"", etc. while making connection with the C2, hindering detection efforts."
T1021.001,During the Attacker utilized RDP throughout an operation.
T1193,"Attacker sent malicious attachments to victims over email, including an Excel spreadsheet containing macros to download Pupy."
T1087.003,Software can execute an LDAP query to discover e-mail accounts for domain users.
T1650,"In some cases, purchasing access to an organization in sectors such as IT contracting, software development, or telecommunications may allow an adversary to compromise additional victims via a , , or even ."
T1139,"Typically, this file keeps track of the user’s last 500 commands."
T1140,Attacker has used a script that decodes a Base64-encoded version of WeaveWorks Scope.
T1083,Software has searched for specific files prior to encryption.
T1207,Adversaries may also utilize this technique to perform  and/or manipulate AD objects  to establish backdoors for Persistence.
T1036.003,An alternative case occurs when a legitimate utility is copied or moved to a different directory and renamed to avoid detections based on system utilities executing from non-standard paths.
T1083,Software has the ability to search for a given filename on a victim.
T1074.001,Attacker has staged stolen data locally on compromised hosts.
T1552.001,They may also be found as parameters to deployment commands in container logs.
T1014,"Software has used a modified copy of the open-source userland rootkit Azazel, named libxselinux.so, to hide the malware's operations and network activity."
T1140,Software has used a XOR key to decrypt strings.
T1566.001,Attacker has conducted spearphishing campaigns using malicious email attachments.
T1201,Attacker has used the NtdsAudit utility to collect information related to accounts and passwords.
T1082,Software can gather the disk volume information.
T1559.003,Applications are responsible for providing the protocol definition which serves as a blueprint of the XPC services.
T1613,"Other resources may include images, deployments, pods, nodes, and other information such as the status of a cluster."
T1547.009,) to persistently launch malware.
T1547.015,Software can add  to establish persistence.
T1071.001,Software can communicate with its C2 server using HTTP requests.
T1503,Adversaries may also acquire credentials by searching web browser process memory for patterns that commonly match credentials.
T1105,Software can download additional malicious files from its C2 server.
T1022,"After collecting files and logs from the victim, Software encrypts some collected data with Blowfish."
T1559.002,Software can use DDE to execute additional payloads on compromised hosts.
T1562.002,Attacker has used appcmd.exe to disable logging on a victim server.
T1132.001,Software uses custom base64 encoding to obfuscate HTTP traffic.
T1053.002,"In Linux environments, adversaries may also abuse Software to break out of restricted environments by using a task to spawn an interactive system shell or to run system commands."
T1070.004,Attacker has deleted logs and executable files used during an intrusion.
T1522,The Instance Metadata API is provided as a convenience to assist in managing applications and is accessible by anyone who can access the instance.
T1059.003,Attacker used <code>cmd.exe</code> for execution.
T1222.002,Software has the ability to modify file permissions.
T1059.003,Software uses a command-line interface.
T1505.001,Software used xp_cmdshell to store and execute SQL code.
T1120,Software obtains the number of removable drives from the victim.
T1649,"), or directly from the Windows certificate store via various crypto APIs."
T1082,Software has gathered operating system information.
T1056.001,Attacker malware KiloAlfa contains keylogging functionality.
T1204.002,"Attacker has attempted to get victims to open malicious files such as Windows Shortcuts  and/or Microsoft Office documents, sent via email as part of spearphishing campaigns."
T1036.006,"With certain file types , appending a space to the end of a filename will change how the file is processed by the operating system."
T1129,Software has used call to <code>LoadLibrary</code> to load its installer. Software loads its modules using reflective loading or custom shellcode.
T1070.004,"Software can securely delete files, including deleting itself from the victim."
T1105,"Software downloads browser specific AppleScript modules using a constructed URL with the <code>curl</code> command, <code>https://"" & domain & ""/agent/scripts/"" & moduleName & "".applescript</code>."
T1055.008,Ptrace system call injection is a method of executing arbitrary code in the address space of a separate live process.
T1021.002,Attacker has used administrative accounts to connect over SMB to targeted users.
T1018,"During , the threat actors used the `net view` and `ping` commands as part of their advanced reconnaissance."
T1548.001,).
T1102.002,A Attacker JavaScript backdoor has used Google Apps Script as its C2 server.
T1203,"Attacker has exploited client software vulnerabilities for execution, such as Microsoft Word CVE-2012-0158."
T1547.001,"Software achieves persistence by setting a Registry Run key, with the path depending on whether the victim account has user or administrator access."
T1547.001,Software uses PowerShell to add a Registry Run key in order to establish persistence.
T1046,Software can scan networks for open ports and listening services.
T1172,"Traffic will appear to be going to domain-x, however the CDN may route it to domain-y."
T1504,A PowerShell profile   is a script that runs when PowerShell starts and can be used as a logon script to customize user environments.
T1128,Examples include some VPN software that invoke netsh.exe.
T1005,Software can copy files on a compromised host.
T1056.001,Software gathers and exfiltrates keystrokes from the machine.
T1566.002,Attacker has sent spearphishing emails containing malicious links.
T1140,Software uses a cipher to implement a decoding function.
T1027.003,Software used steganography to locate the start of its encoded payload within legitimate 7-Zip code.
T1560.002,Software can compress data with ZLIB prior to sending it back to the C2 server.
T1056.001,Software can perform keylogging.
T1059.003,Attacker has used various batch scripts to establish C2 and download additional files. Attacker's backdoor malware has also been written to a batch file.
T1057,Software can use the <code>getprocesslist</code> command to enumerate processes on a compromised host.
T1588.001,Attacker has used multiple strains of malware available for purchase on criminal forums or in open-source repositories.
T1588.002,For Software.
T1083,Software lists files on the victim’s machine.
T1557.002,Attacker has used ARP spoofing to redirect a compromised machine to an actor-controlled website.
T1003.004,Software.
T1037.002,The plist file is located in the <code>/Library/Preferences/com.apple.loginwindow.plist</code> file and can be modified using the <code>defaults</code> command-line utility.
T1074.002,An adversary may  and stage data in that instance.
T1578.003,An adversary may also  and later terminate the instance after achieving their objectives.
T1608.004,"Software, Software, and other malicious tools."
T1070.004,Software has a command to delete files from the victim’s machine.
T1003.003,Attacker has extracted the `NTDS.dit` file by creating volume shadow copies of virtual domain controller disks.
T1566.002,"Spearphishing may also involve social engineering techniques, such as posing as a trusted source."
T1070.004,Software can delete .LNK files created in the Startup folder.
T1070,Software can overwrite Registry settings to reduce its visibility on the victim.
T1031,Modifying existing services may interrupt their functionality or may enable services that are disabled or otherwise not commonly used.
T1498,"Adversaries may use the original IP address of an attacking system, or spoof the source IP address to make the attack traffic more difficult to trace back to the attacking system or to enable reflection."
T1021.008,Adversaries may utilize these cloud native methods to directly access virtual infrastructure and pivot through an environment.
T1036.005,The Software main executable has disguised itself as Microsoft’s Narrator.
T1059.009,Attacker has leveraged the Microsoft Graph API to perform various actions across Azure and M365 environments. They have also utilized AADInternals PowerShell Modules to access the API
T1059.007,"During , the threat actors used JavaScript code."
T1125,Software can record screen content in AVI format.
T1547.001,Software has used Registry Run keys to establish automatic execution at system startup.
T1082,"Software can detect system information--including disk names, total space, and remaining space--to create a hardware profile GUID which acts as a system identifier for operators."
T1588.002,"Software, as well as use other tools such as Software, Software, and Software."
T1027,Software has encrypted strings.
T1003.006,"Members of the Administrators, Domain Admins, and Enterprise Admin groups or computer accounts on the domain controller are able to run DCSync to pull password data from Active Directory, which may include current and historical hashes of potentially useful accounts such as KRBTGT and Administrators."
T1102.001,"Once infected, victims will reach out to and be redirected by these resolvers."
T1547.009,Adversaries may abuse shortcuts in the startup folder to execute their tools and achieve persistence.
T1547.009,Shortcuts can also be abused to establish persistence by implementing other methods.
T1055.001,"During , the threat actors used a DLL named `D8B3.dll` that was injected into the Winlogon process."
T1132,"After encrypting C2 data, Software converts it into a hexadecimal representation and then encodes it into base64."
T1010,Software can monitor the titles of open windows to identify specific keywords.
T1583.001,Software command and control includes hard-coded domains in the malware chosen to masquerade as legitimate services such as Akamai CDN or Amazon Web Services.
T1204.002,Software requires the user to double-click the executable to run the malicious HTA file or to download a malicious installer.
T1018,"Attacker used the command <code>powershell “Get-EventLog -LogName security -Newest 500 | where {$_.EventID -eq 4624} | format-list -
property * | findstr “Address””</code> to find the network information of successfully logged-in accounts to discovery addresses of other machines. Attacker has also used multiple scanning tools to discover other machines within the same compromised network."
T1048.003,Software has used FTP to exfiltrate reconnaissance data out.
T1056,Software can conduct mouse event logging.
T1120,Software has the ability to steal information about printers and the documents sent to printers.
T1060,"Adversaries can use these configuration locations to execute malware, such as remote access tools, to maintain persistence through system reboots."
T1082,Software can collect drive information from a compromised host.
T1056.001,"During , threat actors modified a JavaScript file on the Web SSL VPN component of Ivanti Connect Secure devices to keylog credentials."
T1027,Software can Base64 encode output strings prior to sending to C2.
T1496,Attacker has used XMRIG to mine cryptocurrency on victim systems.
T1589.002,"Gathering this information may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources ), and/or initial access  or  via )."
T1539,"After an adversary acquires a valid cookie, they can then perform a  technique to login to the corresponding web application."
T1059.001,Software is written in PowerShell.
T1021.001,Attacker enables the Remote Desktop Protocol for persistence. Attacker has also interacted with compromised systems to browse and copy files through RDP sessions.
T1053.001,Software can also be abused to conduct remote Execution as part of Lateral Movement and or to run a process under the context of a specified account.
T1082,Software can enumerate the OS version and domain on a targeted system.
T1057,Software's Beacon payload can collect information on process details.
T1181,"Malware may possibly utilize this memory location in part of an attack chain that includes writing code to shared sections of the process’s memory, placing a pointer to the code in EWM, then invoking execution by returning execution control to the address in the process’s EWM."
T1053.006,"Each <code>.timer</code> file must have a corresponding <code>.service</code> file with the same name, e.g., <code>example.timer</code> and <code>example.service</code>."
T1546.011,"For example, the application shimming feature allows developers to apply fixes to applications  that were created for Windows XP so that it will work with Windows 10."
T1008,Attacker’s Harpy backdoor malware can use DNS as a backup channel for C2 if HTTP fails.
T1547.001,Attacker's malware can add a Registry key to `Software\Microsoft\Windows\CurrentVersion\Run` for persistence.
T1569.002,Adversaries may abuse the Windows service control manager to execute malicious commands or payloads.
T1608.004,"In such cases, the user's web browser is typically targeted for exploitation , but adversaries may also set up websites for non-exploitation behavior such as ."
T1056.001,Software has a module for capturing keystrokes per process including window titles.
T1127.001,"A version of Software loads as shellcode within a .NET Framework project using msbuild.exe, presumably to bypass application control techniques."
T1140,Software can deobfuscate and re-assemble code strings for execution.
T1020,Software’s collected files are exfiltrated automatically to remote servers.
T1071.002,Attacker malware used FTP for C2.
T1074.002,"By staging data on one system prior to Exfiltration, adversaries can minimize the number of connections made to their C2 server and better evade detection."
T1090,Attacker adopted Cloudflare as a proxy for compromised servers.
T1106,Software has the ability to use native APIs for numerous functions including discovery and defense evasion.
T1048,Software uses the <code>curl -s -L -o</code> command to exfiltrate archived data to a URL.
T1033,"Attacker has executed <code>whoami</code> commands, including using the WMIEXEC utility to execute this on remote machines."
T1566.001,Attacker has used spearphishing emails with an attachment to deliver files with exploits to initial victims.
T1193,"Adversaries frequently manipulate file extensions and icons in order to make attached executables appear to be document files, or files exploiting one application appear to be a file for a different one."
T1080,A directory share pivot is a variation on this technique that uses several other techniques to propagate malware when users access a shared network directory.
T1027.006,"Data may also be stored in Data URLs, which enable embedding media type or MIME files inline of HTML documents."
T1145,Adversaries may gather private keys from compromised systems for use in authenticating to  like SSH or for use in decrypting other collected files such as email.
T1608.002,"Tools can also be staged on web services, such as an adversary controlled GitHub repo, or on Platform-as-a-Service offerings that enable users to easily provision applications."
T1041,Software exfiltrates collected data over email via SMTP/S and POP3/S C2 channels.
T1569.002,Software uses Software to execute a payload or commands on a remote host.
T1218.011,Software uses rundll32.exe to load its DLL.
T1029,Software can set its Beacon payload to reach out to the C2 server on an arbitrary and random interval.
T1542.005,"Adversaries may manipulate the configuration on the network device specifying use of a malicious TFTP server, which may be used in conjunction with  to load a modified image on device startup or reset."
T1602.001,"The MIB may also contain device operational information, including running configuration, routing table, and interface details."
T1590.002,"DNS, MX, TXT, and SPF records may also reveal the use of third party cloud and SaaS providers, such as Office 365, G Suite, Salesforce, or Zendesk."
T1204.002,Attacker has attempted to get users to open malicious files by sending spearphishing emails with attachments to victims.
T1558,Both files require root access to read.
T1016,Software has the ability to identify the domain and the MAC and IP addresses of an infected machine.
T1559,"Higher level execution mediums, such as those of s, may also leverage underlying IPC mechanisms."
T1214,The Windows Registry stores configuration information that can be used by the system or other programs.
T1566.002,"Attacker has sent spearphishing emails with links, often using a fraudulent lookalike domain and stolen branding."
T1055.004,Software has written its payload into a newly-created `EhStorAuthn.exe` process using `ZwWriteVirtualMemory` and executed it using `NtQueueApcThread` and `ZwAlertResumeThread`.
T1059.003,Attacker has used cmd.exe to execute commmands.
T1071.001,Software uses HTTP and HTTPS for C2.
T1003.001,Attacker has used ProcDump to dump credentials from memory.
T1036.007,and image files
T1546.001,"When a file is opened, the default program used to open the file  is checked."
T1216.001,"Attacker has used PubPrn.vbs within execution scripts to execute malware, possibly bypassing defenses."
T1589.001,"Adversaries may gather credentials from potential victims in various ways, such as direct elicitation via ."
T1136.001,Software can user PowerView to execute “net user” commands and create local system accounts.
T1595.003,"Adversaries may also create custom, target-specific wordlists using data gathered from other Reconnaissance techniques , or )."
T1550.001,"Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems."
T1036,Attacker has renamed rar.exe to avoid detection.
T1140,Software decodes Base64 strings and decrypts strings using a custom XOR algorithm.
T1059.005,Software can create a Visual Basic script to enable persistence.
T1030,Software exfiltrates data in compressed chunks if a message is larger than 4096 bytes .
T1113,Software can capture screenshots of the infected machine.
T1153,"Take note of the space after the "".""."
T1564.002,Adversaries may use hidden users to hide the presence of user accounts they create or modify.
T1598.002,Attacker has used spearphishing with Microsoft Office attachments to enable harvesting of user credentials.
T1003,Attacker has used credential dumping tools.
T1059.003,Software has used cmd.exe to execute commands.
T1055.005,Manipulating TLS callbacks may be performed by allocating and writing to specific offsets within a process’ memory space using other  techniques such as .
T1027.002,Software has used the open source UPX executable packer.
T1027,Software has encrypted strings with RC4.
T1546.006,These can be added ad-hoc to the compiled binary as long as adjustments are made to the rest of the fields and dependencies.
T1059.001,Software can use PowerShell to set persistence.
T1565.003,"For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact."
T1555.005,These databases can be stored as files on disk.
T1021.002,Software has the ability to use SMB to pivot in compromised networks.
T1620,"Attacker has changed memory protection permissions then overwritten in memory DLL function code with shellcode, which was later executed via Attacker has also used shellcode within macros to decrypt and manually map DLLs into memory at runtime."
T1074.001,Software can identifiy payment card track data on the victim and copy it to a local file in a subdirectory of C:\Windows\.
T1105,Software deploys additional backdoors and hacking tools to the system.
T1218.011,Attacker has used <code>rundll32</code> to load malicious DLLs.
T1056.001,Software uses the <code>CGEventTap</code> functions to perform keylogging.
T1204.002,Software has relied on a victim to open a malicious attachment within an email for execution.
T1085,The rundll32.exe program can be called to execute an arbitrary binary.
T1091,Software contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.
T1573.001,Software uses RC4 encryption to obfuscate HTTP traffic.
T1555.004,Software can collect credentials from the Windows Credential Manager.
T1059.003,Software has the ability to use Software to run a Portable Executable  on the compromised host.
T1098.001,These temporary credentials may remain valid for the duration of their lifetime even if the original account’s API credentials are deactivated.
T1554,"Software searches through the <code>/Users/</code> folder looking for executable files. For each executable, Software prepends a copy of itself to the beginning of the file. When the file is executed, the Software code is executed first. Software creates a hidden file, copies the original target executable to the file, then executes the new hidden file to maintain the appearance of normal behavior."
T1070.004,Software has the ability to quit and delete itself.
T1569.002,Software can be used to execute binaries on remote systems by creating and starting a service.
T1041,Software has exfiltrated information gathered from the infected system to the C2 server.
T1202,Software can be used to subvert controls and possibly conceal command execution by not directly invoking Software.
T1082,Software identifies the macOS version and uses <code>ioreg</code> to determine serial number.
T1020,Attacker has used modules that automatically upload gathered documents to the C2 server.
T1005,Software has the ability to access the file system on a compromised host.
T1105,Software can download files from its C2 server to the victim's machine.
T1550.004,This technique bypasses some multi-factor authentication protocols since the session is already authenticated.
T1112,Software can set its configuration parameters in the Registry.
T1553.002,Software has installed a self-signed RPM package mimicking the original system package on RPM based systems.
T1071.001,"Software can use HTTP communications for C2, as well as using the WinHTTP library to make requests to the Exchange Web Services API."
T1040,Adversaries may likely also utilize network sniffing during   to passively gain additional knowledge about the environment.
T1574.011,"If the permissions for users and groups are not properly set and allow access to the Registry keys for a service, adversaries may change the service's binPath/ImagePath to point to a different executable under their control."
T1056.001,Attacker has used malware with keylogging capabilities to monitor the communications of targeted entities.
T1046,"Within macOS environments, adversaries may use the native Bonjour application to discover services running on other macOS hosts within a network."
T1208,"To enable authentication, Kerberos requires that SPNs be associated with at least one service logon account )."
T1071.001,Software has used HTTP for C2 communications.
T1113,Software has the ability to capture screenshots on compromised hosts.
T1555.003,Attacker has used a credential stealer known as ZUMKONG that can harvest usernames and passwords stored in browsers.
T1039,Sensitive data can be collected from remote systems via shared network drives
T1184,Secure Shell  is a standard means of remote access on Linux and macOS systems.
T1060,creates run key Registry entries pointing to a malicious executable dropped to disk.
T1068,"Attacker has used tools to exploit Windows vulnerabilities in order to escalate privileges. The tools targeted CVE-2013-3660, CVE-2011-2005, and CVE-2010-4398, all of which could allow local users to access kernel-level privileges."
T1105,Attacker has transferred files using the Intel® Active Management Technology  Serial-over-LAN  channel.
T1135,Attacker listed connected network shares.
T1003.002,Attacker has copied and exfiltrated the SAM Registry hive from targeted systems.
T1137.003,Malicious forms will execute when an adversary sends a specifically crafted email to the user.
T1016,Software can find the external IP address of the infected host.
T1518.001,Software has checked for the existence of Kaspersky antivirus software on the system.
T1206,"Since sudo was made for the system administrator, it has some useful configuration features such as a <code>timestamp_timeout</code> that is the amount of time in minutes between instances of <code>sudo</code> before it will re-prompt for a password."
T1556.006,"Once adversaries have gained access to a network by either compromising an account lacking MFA or by employing an MFA bypass method such as , adversaries may leverage their access to modify or completely disable MFA defenses."
T1548.005,Many cloud environments also include mechanisms for users to pass roles to resources that allow them to perform tasks and authenticate to other services.
T1016,Software can determine the public or WAN IP address for the system.
T1569.001,Software has used `launchctl` to restart the .
T1546.003,"Adversaries may use the capabilities of WMI to subscribe to an event and execute arbitrary code when that event occurs, providing persistence on a system."
T1558,Adversaries may attempt to abuse Kerberos by stealing tickets or forging tickets to enable unauthorized access.
T1547.006,"However, kexts are still allowed as ""Legacy System Extensions"" since there is no System Extension for Kernel Programming Interfaces."
T1140,"Software decrypts strings right after the initial communication, but before the authentication process."
T1064,"Metasploit , Veil , and PowerSploit  are three examples that are popular among penetration testers for exploit and post-compromise operations and include many features for evading defenses."
T1564.003,"Similarly, on Windows there are a variety of features in scripting languages, such as , Jscript, and  to make windows hidden."
T1124,Software has the ability to determine the date and time on a compromised host.
T1030,Software exfiltrates command output and collected files to its C2 server in 1500-byte blocks.
T1560,Software can archive files on the compromised host.
T1027.003,Software has PE data embedded within JPEG files contained within Word documents.
T1560.003,Attacker encrypts data with a substitute cipher prior to exfiltration.
T1016,"Software can collect the TCP/IP, DNS, DHCP, and network adapter configuration on a compromised host via <code>ipconfig.exe /all</code>."
T1137.005,"Once malicious rules have been added to the user’s mailbox, they will be loaded when Outlook is started."
T1055.015,Information about an application's list-view settings are stored within the process' memory in a <code>SysListView32</code> control.
T1082,Software can gather the victim OS version and whether it is 64 or 32 bit.
T1036.009,"If endpoint protection software leverages the “parent-child"" relationship for detection, breaking this relationship could result in the adversary’s behavior not being associated with previous process tree activity."
T1036.009,"For example, adversaries can execute their payload without any arguments, call the `fork` API call twice, then have the parent process exit."
T1555.001,"There are three types of Keychains: Login Keychain, System Keychain, and Local Items  Keychain."
T1078.004,"Cloud Accounts can exist solely in the cloud; alternatively, they may be hybrid-joined between on-premises systems and the cloud through syncing or federation with other identity sources such as Windows Active Directory."
T1036.005,Software has been disguised as <code>update.exe</code> to appear as a valid executable.
T1005,Software has the ability to upload files from a targeted system.
T1012,Software contains watchdog functionality that periodically ensures <code>HKCU\Software\Microsoft\Windows NT\CurrentVersion\Windows\Load</code> is set to point to its executable.
T1059,"During , threat actors used Perl scripts to enable the deployment of the THINSPOOL shell script dropper and for enumerating host data."
T1573.001,Attacker has used AES-256 and 3DES for C2 communications.
T1082,Software can report the file system type and disk space of a compromised host to C2.
T1018,Software used Nmap for remote system discovery.
T1547.006,Loadable Kernel Modules  are pieces of code that can be loaded and unloaded into the kernel upon demand.
T1056.001,Software is capable of performing keylogging.
T1526,"Azure tools and APIs, such as the Azure AD Graph API and Azure Resource Manager API, can enumerate resources and services, including applications, management groups, resources and policy definitions, and their relationships that are accessible by an identity."
T1529,Software attempts to reboot the machine by terminating specific processes.
T1071.003,Software can use emails for C2 communications.
T1552.005,Software can query the query AWS and GCP metadata APIs for secrets.
T1106,Software can use a variety of APIs for execution.
T1560.001,Attacker has used gzip to archive dumped LSASS process memory and RAR to stage and compress local folders.
T1003.004,Software can dump secrets from the Local Security Authority.
T1543.003,Software can create a service to establish persistence.
T1012,"Adversaries may use the information from  during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions."
T1074.001,Software has staged stolen files in the <code>C:\AMD\Temp</code> directory.
T1105,Attacker has used first-stage payloads that download additional malware from C2 servers.
T1115,Attacker has used tools capable of stealing contents of the clipboard.
T1049,Software can obtain a list of active connections and open ports.
T1134,Software has the ability to manipulate user tokens on targeted Windows systems.
T1069,Software uses the <code>net group</code> command.
T1021.001,Attacker utilized RDP throughout an operation.
T1486,Software has a ransomware component that encrypts files with an AES key that is also RSA-1028 encrypted.
T1565,The type of modification and the impact it will have depends on the target application and process as well as the goals and objectives of the adversary.
T1016.001,Software command to check connectivity to actor-controlled C2 servers.
T1600.001,Adversaries can weaken the encryption software on a compromised network device by reducing the key size used by the software to convert plaintext to ciphertext .
T1055,Software can inject its payload into iexplore.exe process.
T1569.002,Software uses svchost.exe to execute a malicious DLL included in a new service group.
T1137.001,Shared templates may also be stored and pulled from remote locations.
T1114.001,Software searches recursively for Outlook personal storage tables  files within user directories and sends them back to the C2 server.
T1027.013,Software has the ability to download a base64 encoded payload.
T1078.002,Attacker has used compromised domain accounts to authenticate to devices on compromised networks.
